"f","Tt","method","replica","elapsed_time","ess_theta_01","ess_theta_02","ess_W1","ess_W2","ess_theta1_mean","ess_theta1_min","ess_theta2_mean","ess_theta2_min","ess_sec_theta_01","ess_sec_theta_02","ess_sec_W1","ess_sec_W2","ess_sec_theta1_mean","ess_sec_theta2_mean","W1_mean","W1_median","W1_var","W1_ci_lower","W1_ci_upper","W2_mean","W2_median","W2_var","W2_ci_lower","W2_ci_upper","log_lik","rmse_theta1","mae_theta1","coverage_rate_theta1","theta1_ci_width_mean"
"constant",1600,"montoril",100,79.568,74.3131343370881,287.92280243591,58.3744228023957,603.608993165732,173.895613215704,14.1228105958691,1684.83883807322,189.505201697135,0.933957549983512,3.61857533727013,0.733641951568416,7.58607723162241,2.18549684817645,21.174829555515,0.00213833074373843,0.00207009510299912,4.46422117182913e-07,0.000983611241448171,0.00343851656215404,9.77423713075875e-06,9.39551454084776e-06,6.78790303240924e-12,5.2189537734524e-06,1.49302044620058e-05,-3187.77087994722,0.131163296426374,0.0931837483721226,0.95625,0.462276013183828
"constant",1600,"montoril",101,79.957,22.947788257027,129.900545237956,96.3657294295926,594.631932490827,215.908093820884,22.8409532860406,2835.6932854603,47.2604964615087,0.28700161658175,1.62463005412855,1.20521942330994,7.43689648799764,2.7003025854007,35.4652286286417,0.00255064254894998,0.00246795540011754,5.20515471027832e-07,0.00127797828525132,0.00394962545097424,9.01126530581106e-06,8.67678065247151e-06,5.60317865044876e-12,4.89136033849754e-06,1.37994047430625e-05,-3164.44095964687,0.124797776575032,0.0835298906582102,0.95875,0.477736225141387
"constant",1600,"montoril",102,81.978,103.263829438543,378.573539624948,85.4197896391264,864.842317995623,163.635192310261,26.4349124753636,1643.17216604836,241.257483270662,1.25965294882216,4.61798945601195,1.04198430846235,10.5496879406136,1.99608666118057,20.0440626271482,0.00198661121890792,0.00188397554706355,3.91822589426778e-07,0.000926427730445672,0.00325228535010186,8.98882290641364e-06,8.66757758515633e-06,5.08938820231391e-12,5.19522339675195e-06,1.36080341949946e-05,-3184.07575481855,0.118074408684501,0.077733590128692,0.95875,0.455465962159306
"constant",1600,"montoril",103,79.796,130.538266721488,515.113268381842,135.824406042407,552.33258367616,205.765335625664,4.15654567419705,2442.61206233508,52.5636344234762,1.63589987870931,6.45537706629207,1.70214554667411,6.92180790611259,2.57864223301498,30.6107080848047,0.00256603594733168,0.00250420280908338,5.24615822315937e-07,0.00125630579400921,0.00405059778503305,9.81458789808062e-06,9.39994419977883e-06,7.31419895588027e-12,5.30379702228129e-06,1.51535853427279e-05,-3153.70032396776,0.129532243327551,0.0957508480598346,0.960625,0.484942437961912
"constant",1600,"montoril",104,82.373,112.727854379101,529.507123269407,88.3996838588436,501.539280948821,180.930055704729,11.5551576693484,2032.39223725037,60.1879097496365,1.36850490305199,6.42816363698551,1.0731633406437,6.08863682212401,2.19647282124882,24.6730389478394,0.0022879353816223,0.00218646916663731,4.72406992359799e-07,0.00105359469287266,0.00362844770758985,9.51930976583316e-06,9.11514950588156e-06,6.64543832439902e-12,5.28136671643437e-06,1.46077491666861e-05,-3170.13607367305,0.136874609264919,0.095688359176406,0.95875,0.471240199785017
"constant",1600,"montoril",105,82.234,97.7983564157484,263.798351728534,106.362790642715,493.017163399497,131.397430263731,13.4453380108057,1094.40738327529,40.0941756493732,1.18926911515612,3.20789882200226,1.29341623468048,5.99529590436434,1.59784797363294,13.3084537207881,0.00159373449360609,0.00154776511825546,1.99297878960342e-07,0.000791861153928296,0.00244844392019074,8.9354483118067e-06,8.56168611130004e-06,5.5738898072461e-12,5.04127609702542e-06,1.36728738628449e-05,-3164.56776382984,0.138979660927667,0.0929389253062237,0.94,0.438040264016541
"constant",1600,"montoril",106,80.898,178.225062441795,719.937410265651,84.9558853581633,861.74276390305,202.199833027762,5.76729447497459,2585.41067487246,365.664355867146,2.20308366636746,8.89932273066888,1.05016051519399,10.6522134527807,2.49944167998915,31.9588948413121,0.00249348384968984,0.00240174242600666,5.55865190540337e-07,0.00117998172331013,0.00394100282170954,8.89941271584473e-06,8.53403888096167e-06,5.5159832740919e-12,4.94183144184101e-06,1.36113702423051e-05,-3198.42957405752,0.121050150766523,0.0819662286806753,0.959375,0.477034740588092
"constant",1600,"montoril",107,80.063,55.414435332143,241.579006736303,93.7771530768162,544.035787476503,142.495059120768,13.6821770129272,1296.89169072967,103.492183946387,0.692135385036071,3.01736141209177,1.17129202099367,6.7950962051947,1.7797866570172,16.198389902073,0.0018013570639873,0.00174733067820133,2.54913106226245e-07,0.000911042624578336,0.002808098046729,9.08979749681967e-06,8.74670040252859e-06,5.83028438450924e-12,4.96133398510913e-06,1.38983489956961e-05,-3140.80921778557,0.131195286421066,0.095021589233608,0.943125,0.448818458835943
"constant",1600,"montoril",108,83.156,186.589766829723,744.714258088913,95.0779186036272,548.0764008212,191.358491471666,40.8972171853273,2142.09214087424,273.783114323402,2.24385211926648,8.95562867488712,1.14336811058285,6.59094233514359,2.30119884881026,25.7599228062225,0.00240771363600136,0.00229448005051387,5.54675254701487e-07,0.0010857733674954,0.00383515056034609,9.28743466597259e-06,8.89623497954436e-06,6.25060307317251e-12,5.0005990459082e-06,1.42532377475318e-05,-3137.82551451034,0.120481766120184,0.0836577928582893,0.96875,0.479992359784824
"constant",1600,"montoril",109,80.731,49.8820857473576,266.622153449048,105.64388843488,798.060989779168,158.304357364773,9.45374774520434,1538.136776483,88.197898723058,0.617880191591305,3.30259941594985,1.30859135195749,9.88543421708103,1.96088686334584,19.0526164234681,0.00192509976923228,0.00185976178218875,3.03298137623358e-07,0.000965094651739352,0.00299619590810979,8.7436127380302e-06,8.44354329758551e-06,4.79795028447263e-12,4.94796050678476e-06,1.31770180057392e-05,-3149.61681799849,0.125116657845042,0.0826169990542402,0.940625,0.45562208812772
