"method","f","Tt","replica","rmse_lambda1"
"montoril","constant",200,1,0.884130590230072
"pg_apf","constant",200,1,0.867812284374918
"sir_laplace","constant",200,1,0.871744144560666
"sir_collapsed","constant",200,1,0.871794432016943
"stan","constant",200,1,0.876480832821822
"montoril","linear",200,1,0.71174683947806
"pg_apf","linear",200,1,0.70687429950032
"sir_laplace","linear",200,1,0.704967103354316
"sir_collapsed","linear",200,1,0.703793396157552
"stan","linear",200,1,0.706870587946375
"montoril","quadratic",200,1,0.729844642698118
"pg_apf","quadratic",200,1,0.728701932581615
"sir_laplace","quadratic",200,1,0.72512498497097
"sir_collapsed","quadratic",200,1,0.716542354368901
"stan","quadratic",200,1,0.726098402766544
"montoril","sinusoidal",200,1,0.717576186927584
"pg_apf","sinusoidal",200,1,0.713837360183056
"sir_laplace","sinusoidal",200,1,0.718585045887961
"sir_collapsed","sinusoidal",200,1,0.705516852339653
"stan","sinusoidal",200,1,0.713416246817812
"montoril","constant",400,1,0.604242179343733
"pg_apf","constant",400,1,0.601568935551498
"sir_laplace","constant",400,1,0.6002301957956
"sir_collapsed","constant",400,1,0.598416280349251
"stan","constant",400,1,0.604960267745769
"montoril","linear",400,1,0.353864203657446
"pg_apf","linear",400,1,0.341273171802518
"sir_laplace","linear",400,1,0.348967793157623
"sir_collapsed","linear",400,1,0.355422993355905
"stan","linear",400,1,0.346727657132705
"montoril","quadratic",400,1,0.342894311407789
"pg_apf","quadratic",400,1,0.334951925090002
"sir_laplace","quadratic",400,1,0.342961863012683
"sir_collapsed","quadratic",400,1,0.349851064199384
"stan","quadratic",400,1,0.341234564759211
"montoril","sinusoidal",400,1,0.313220774942533
"pg_apf","sinusoidal",400,1,0.300239274787809
"sir_laplace","sinusoidal",400,1,0.30218516550029
"sir_collapsed","sinusoidal",400,1,0.309023680586257
"stan","sinusoidal",400,1,0.299503945637602
"montoril","constant",800,1,0.549603914519834
"pg_apf","constant",800,1,0.541083465368549
"sir_laplace","constant",800,1,0.544711570993004
"sir_collapsed","constant",800,1,0.547828138399684
"stan","constant",800,1,0.54343115397687
"montoril","linear",800,1,0.347466188928128
"pg_apf","linear",800,1,0.331061898024093
"sir_laplace","linear",800,1,0.334557294184651
"sir_collapsed","linear",800,1,0.339418938291438
"stan","linear",800,1,0.331667531896915
"montoril","quadratic",800,1,0.350086131596898
"pg_apf","quadratic",800,1,0.336333448992647
"sir_laplace","quadratic",800,1,0.340417850899165
"sir_collapsed","quadratic",800,1,0.345230773271226
"stan","quadratic",800,1,0.33776940727714
"montoril","sinusoidal",800,1,0.365656170339679
"pg_apf","sinusoidal",800,1,0.352255279967567
"sir_laplace","sinusoidal",800,1,0.354573319172411
"sir_collapsed","sinusoidal",800,1,0.360324535096409
"stan","sinusoidal",800,1,0.35329446236104
"montoril","constant",1600,1,0.463356825030184
"pg_apf","constant",1600,1,0.457945094928366
"sir_laplace","constant",1600,1,0.45778841052343
"sir_collapsed","constant",1600,1,0.458220626373067
"stan","constant",1600,1,0.457794405708916
"montoril","linear",1600,1,0.310604750807664
"pg_apf","linear",1600,1,0.303865362942368
"sir_laplace","linear",1600,1,0.304478497238162
"sir_collapsed","linear",1600,1,0.308239224704937
"stan","linear",1600,1,0.302637643207173
"montoril","quadratic",1600,1,0.302717716758807
"pg_apf","quadratic",1600,1,0.289490310192349
"sir_laplace","quadratic",1600,1,0.290987800253479
"sir_collapsed","quadratic",1600,1,0.292615997750226
"stan","quadratic",1600,1,0.290498672497338
"montoril","sinusoidal",1600,1,0.321664434842742
"pg_apf","sinusoidal",1600,1,0.306991204314406
"sir_laplace","sinusoidal",1600,1,0.306933659071401
"sir_collapsed","sinusoidal",1600,1,0.307887422951158
"stan","sinusoidal",1600,1,0.309181524960822
"montoril","constant",200,2,0.822368874279337
"pg_apf","constant",200,2,0.830058186794214
"sir_laplace","constant",200,2,0.832785060901879
"sir_collapsed","constant",200,2,0.834365092476588
"stan","constant",200,2,0.829081117226305
"montoril","linear",200,2,0.47472043238282
"pg_apf","linear",200,2,0.461375016071633
"sir_laplace","linear",200,2,0.469460904896395
"sir_collapsed","linear",200,2,0.471820735927894
"stan","linear",200,2,0.462575703813801
"montoril","quadratic",200,2,0.512048340988664
"pg_apf","quadratic",200,2,0.502656316128762
"sir_laplace","quadratic",200,2,0.502194895999822
"sir_collapsed","quadratic",200,2,0.507669327726877
"stan","quadratic",200,2,0.497019817642029
"montoril","sinusoidal",200,2,0.46778052417868
"pg_apf","sinusoidal",200,2,0.468887441376304
"sir_laplace","sinusoidal",200,2,0.472884689053621
"sir_collapsed","sinusoidal",200,2,0.482800628426399
"stan","sinusoidal",200,2,0.473456850830503
"montoril","constant",400,2,0.676893208676879
"pg_apf","constant",400,2,0.676846301504332
"sir_laplace","constant",400,2,0.679784863427369
"sir_collapsed","constant",400,2,0.680743010801911
"stan","constant",400,2,0.674052204403511
"montoril","linear",400,2,0.405062507860557
"pg_apf","linear",400,2,0.395823901841698
"sir_laplace","linear",400,2,0.406551943453725
"sir_collapsed","linear",400,2,0.41024857942682
"stan","linear",400,2,0.401787025265892
"montoril","quadratic",400,2,0.395659795571681
"pg_apf","quadratic",400,2,0.388035902127139
"sir_laplace","quadratic",400,2,0.396884971672495
"sir_collapsed","quadratic",400,2,0.40028678502928
"stan","quadratic",400,2,0.395095602066336
"montoril","sinusoidal",400,2,0.394987861109148
"pg_apf","sinusoidal",400,2,0.403517924018664
"sir_laplace","sinusoidal",400,2,0.406815043455041
"sir_collapsed","sinusoidal",400,2,0.412749629991052
"stan","sinusoidal",400,2,0.40390886348835
"montoril","constant",800,2,0.574621066494337
"pg_apf","constant",800,2,0.576790369829636
"sir_laplace","constant",800,2,0.576013834019437
"sir_collapsed","constant",800,2,0.573780912499031
"stan","constant",800,2,0.575897586437768
"montoril","linear",800,2,0.382178536415547
"pg_apf","linear",800,2,0.375150090880803
"sir_laplace","linear",800,2,0.379083670312943
"sir_collapsed","linear",800,2,0.378850733588538
"stan","linear",800,2,0.377256130486345
"montoril","quadratic",800,2,0.365334666181892
"pg_apf","quadratic",800,2,0.3615176566057
"sir_laplace","quadratic",800,2,0.363280399226518
"sir_collapsed","quadratic",800,2,0.362750109936262
"stan","quadratic",800,2,0.363754146179136
"montoril","sinusoidal",800,2,0.389183112076667
"pg_apf","sinusoidal",800,2,0.380177255278921
"sir_laplace","sinusoidal",800,2,0.379135670325885
"sir_collapsed","sinusoidal",800,2,0.383583876415419
"stan","sinusoidal",800,2,0.382663904639067
"montoril","constant",1600,2,0.499749506554619
"pg_apf","constant",1600,2,0.493664879975618
"sir_laplace","constant",1600,2,0.493689988010209
"sir_collapsed","constant",1600,2,0.492861664340677
"stan","constant",1600,2,0.494353346793298
"montoril","linear",1600,2,0.362154521593951
"pg_apf","linear",1600,2,0.357383548621117
"sir_laplace","linear",1600,2,0.358025678358675
"sir_collapsed","linear",1600,2,0.362724638521728
"stan","linear",1600,2,0.359755117473936
"montoril","quadratic",1600,2,0.360832877232212
"pg_apf","quadratic",1600,2,0.360731585288932
"sir_laplace","quadratic",1600,2,0.361872608016504
"sir_collapsed","quadratic",1600,2,0.36764019823643
"stan","quadratic",1600,2,0.3648584178811
"montoril","sinusoidal",1600,2,0.390778127886898
"pg_apf","sinusoidal",1600,2,0.379699470606921
"sir_laplace","sinusoidal",1600,2,0.381073375599732
"sir_collapsed","sinusoidal",1600,2,0.385681403320924
"stan","sinusoidal",1600,2,0.381014050773124
"montoril","constant",200,3,0.824766458659594
"pg_apf","constant",200,3,0.827283060142886
"sir_laplace","constant",200,3,0.823059725208927
"sir_collapsed","constant",200,3,0.822200223734666
"stan","constant",200,3,0.82091571764071
"montoril","linear",200,3,0.599834440877352
"pg_apf","linear",200,3,0.602950123315602
"sir_laplace","linear",200,3,0.609205271456627
"sir_collapsed","linear",200,3,0.614887970091086
"stan","linear",200,3,0.604133010397563
"montoril","quadratic",200,3,0.594170719582174
"pg_apf","quadratic",200,3,0.591393567563724
"sir_laplace","quadratic",200,3,0.599392335690851
"sir_collapsed","quadratic",200,3,0.607107511228374
"stan","quadratic",200,3,0.594617352046722
"montoril","sinusoidal",200,3,0.567781656754936
"pg_apf","sinusoidal",200,3,0.563179368327064
"sir_laplace","sinusoidal",200,3,0.570958058084968
"sir_collapsed","sinusoidal",200,3,0.572117067375673
"stan","sinusoidal",200,3,0.56432065679732
